Region,School LEA number,School Name,Type,Type (Welsh),School Number,Phone Number,Address,Students,Wikipedia URL,Estyn (Schools Inspectorate) URL,School Website
Isle of Anglesey,660,Canolfan Addysg Y Bont,Special (with post-16 provision),Not applicable,6607011,01248 750151,Ffordd Cildwrn+Llangefni+Ynys Mon++LL77 7PG,122.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gwaun Gyfni,"Nursery, Infants & Juniors",Welsh medium,6612000,01286 870687,Deiniolen+Gwynedd+++LL55 3LT,137.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Nefyn,"Nursery, Infants & Juniors",Welsh medium,6612004,01758 720765,Ffordd Dewi Sant+Nefyn+Pwllheli+Gwynedd+LL53 6EA,135.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Llanrug,"Nursery, Infants & Juniors",Welsh medium,6612006,01286 674905,Caernarfon+Gwynedd+++LL55 4AL,253.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Abererch,"Nursery, Infants & Juniors",Welsh medium,6612008,01758 613441,Abererch+Pwllheli+Gwynedd++LL53 6YU,73.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Beddgelert,"Nursery, Infants & Juniors",Welsh medium,6612010,01766 890307,Beddgelert+Gwynedd+++LL55 4UY,31.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Bethel,"Nursery, Infants & Juniors",Welsh medium,6612011,01248 670663,Caernarfon+Gwynedd+++LL55 1AX,147.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Bodfeurig,"Nursery, Infants & Juniors",Welsh medium,6612013,01248 600760,Tregarth+Gwynedd+++LL57 4RN,54.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Borth-Y-Gest,"Nursery, Infants & Juniors",Welsh medium,6612015,01766 513285,Porthmadog+Gwynedd+++LL49 9UF,28.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Brynaerau,"Nursery, Infants & Juniors",Welsh medium,6612017,01286 660428,Pontllyfni+Caernarfon+Gwynedd++LL54 5EU,63.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Y Gelli,"Nursery, Infants & Juniors",Welsh medium,6612026,01286 674847,Ffordd Bethel+Caernarfon+Gwynedd++LL55 1DU,229.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Penybryn,Juniors,Welsh medium,6612028,01248 600375,Bethesda+Gwynedd+++LL57 3BE,124.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Treferthyr,"Nursery, Infants & Juniors",Welsh medium,6612033,01766 522300,Criccieth+Gwynedd+++LL52 0DS,110.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Chwilog,"Nursery, Infants & Juniors",Welsh medium,6612036,01766 810627,Chwilog+Pwllheli+Gwynedd++LL53 6PS,84.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Crud-Y-Werin,"Nursery, Infants & Juniors",Welsh medium,6612039,01758 760205,Aberdaron+Pwllheli+Gwynedd++LL53 8BP,66.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Dolbadarn,"Nursery, Infants & Juniors",Welsh medium,6612042,01286 870711,Llanberis+Gwynedd+++LL55 4SH,146.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Edern,"Nursery, Infants & Juniors",Welsh medium,6612046,01758 720272,Ffordd y Rhos+Edern+Pwllheli+Gwynedd+LL53 8YW,70.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Bro Plenydd,"Nursery, Infants & Juniors",Welsh medium,6612048,01766 810625,Y Ffor+Pwllheli+Gwynedd++LL53 6UP,85.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Garndolbenmaen,"Nursery, Infants & Juniors",Welsh medium,6612049,01766 530626,Garndolbenmaen+Gwynedd+++LL51 9SZ,28.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Llanbedrog,"Nursery, Infants & Juniors",Welsh medium,6612060,01758 740631,Llanbedrog+Pwllheli+Gwynedd++LL53 7NU,94.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Llangybi,"Nursery, Infants & Juniors",Welsh medium,6612066,01766 810564,Llangybi+Pwllheli+Gwynedd++LL53 6DQ,30.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Llanllechid,"Nursery, Infants & Juniors",Welsh medium,6612069,01248 600600,Llanllechid+Bangor+Gwynedd++LL57 3EH,265.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Llanllyfni,"Nursery, Infants & Juniors",Welsh medium,6612070,01286 880729,Llanllyfni+Caernarfon+Gwynedd++LL54 6SH,68.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Babanod Morfa Nefyn,"Nursery, Infants & Juniors",Welsh medium,6612075,01758 720870,Morfa Nefyn+Pwllheli+Gwynedd++LL53 6AR,33.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Baladeulyn,"Nursery, Infants & Juniors",Welsh medium,6612078,01286 880884,Nantlle+Caernarfon+Gwynedd++LL54 6BT,18.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Nebo,"Nursery, Infants & Juniors",Welsh medium,6612081,01286 881273,Nebo+Caernarfon+Gwynedd++LL54 6EE,16.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gymuned Penisarwaun,"Nursery, Infants & Juniors",Welsh medium,6612085,01286 870879,Penisarwaen+Caernarfon+Gwynedd++LL55 3BW,50.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Bro Lleu,"Nursery, Infants & Juniors",Welsh medium,6612089,01286 880883,Penygroes+Caernarfon+Gwynedd++LL54 6RL,195.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Pentreuchaf,"Nursery, Infants & Juniors",Welsh medium,6612093,01758 750600,Pentreuchaf+Pwllheli+Gwynedd++LL53 8DZ,88.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Rhiwlas,"Nursery, Infants & Juniors",Welsh medium,6612097,01248 352483,Rhiwlas+Bangor+Gwynedd++LL57 4EH,39.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Rhosgadfan,"Nursery, Infants & Juniors",Welsh medium,6612098,01286 830160,Rhosgadfan+Caernarfon+Gwynedd++LL54 7EU,44.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Rhostryfan,"Nursery, Infants & Juniors",Welsh medium,6612099,01286 830727,Rhostryfan+Caernarfon+Gwynedd++LL54 7LR,78.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Sarn Bach,"Nursery, Infants & Juniors",Welsh medium,6612103,01758 712714,Sarn Bach+Pwllheli+Gwynedd++LL53 7LF,39.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Eifion Wyn,"Nursery, Infants & Juniors",Welsh medium,6612104,01766 513286,Porthmadog+Gwynedd+++LL49 9NU,216.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Talysarn,"Nursery, Infants & Juniors",Welsh medium,6612108,01286 880885,COED MADOG+TALYSARN+Gwynedd++LL54 6HR,103.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Y Gorlan,"Nursery, Infants & Juniors",Welsh medium,6612110,01766 512773,Tremadog+Porthmadog+Gwynedd++LL49 9RN,114.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Yr Eifl,"Nursery, Infants & Juniors",Welsh medium,6612111,01286 660523,Trefor+Caernarfon+Gwynedd++LL54 5LU,58.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Tudweiliog,"Nursery, Infants & Juniors",Welsh medium,6612112,01758 770669,Tudweiliog+Pwllheli+Gwynedd++LL53 8ND,52.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Waunfawr,"Nursery, Infants & Juniors",Welsh medium,6612113,01286 650451,Waunfawr+Caernarfon+Gwynedd++LL55 4LJ,134.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Glancegin,"Nursery, Infants & Juniors",Welsh medium,6612116,01248 353097,Maesgeirchen+Bangor+Gwynedd++LL57 1ST,220.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Yr Hendre,"Nursery, Infants & Juniors",Welsh medium,6612119,01286 674332,Caernarfon+Gwynedd+++LL55 2AT,394.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Bontnewydd,"Nursery, Infants & Juniors",Welsh medium,6612122,01286 673880,Bontnewydd+Caernarfon+Gwynedd++LL55 2UF,207.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gymraeg Y Garnedd,"Nursery, Infants & Juniors",Welsh medium,6612123,01248 352534,Ffordd Penrhos+Bangor+Gwynedd++LL57 2LX,405.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Cymerau,"Nursery, Infants & Juniors",Welsh medium,6612125,01758 612001,Ffordd Mela+Pwllheli+Gwynedd++LL53 5AR,279.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Abercaseg (Babanod),Nursery & Infants,Welsh medium,6612126,01248 600194,Bethesda+Bangor+Gwynedd++LL57 3PL,104.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Y Felinheli,"Nursery, Infants & Juniors",Welsh medium,6612127,01248 670748,Felinheli+Gwynedd+++LL56 4TZ,179.0,TODO,TODO,TODO
Gwynedd,661,Ysgol y Traeth,"Nursery, Infants & Juniors",Welsh medium,6612181,01341 280479,Abermaw+Gwynedd+++LL42 1HH,201.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Dyffryn Dulas,"Nursery, Infants & Juniors",Welsh medium,6612185,01654 761622,Corris+Machynlleth+Powys++SY20 9TQ,32.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Dyffryn Ardudwy,Infants & Juniors,Welsh medium,6612189,01341 247294,Dyffryn Ardudwy+Gwynedd+++LL44 2EP,75.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Bro Cynfal,"Nursery, Infants & Juniors",Welsh medium,6612190,01766 762668,Ffestiniog+Blaenau Ffestiniog+Gwynedd++LL41 4NF,31.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Edmwnd Prys,"Nursery, Infants & Juniors",Welsh medium,6612192,01766 590348,Gellilydan+Blaenau Ffestiniog+Gwynedd++LL41 4DY,23.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Llanbedr,Infants & Juniors,Welsh medium,6612194,01341 241422,Llanbedr+Gwynedd+++LL45 2NW,51.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Y Garreg,"Nursery, Infants & Juniors",Welsh medium,6612198,01766 770727,Llanfrothen+Penrhyndeudraeth+Gwynedd++LL48 6LJ,19.0,TODO,TODO,TODO
Gwynedd,661,Ysgol O M Edwards,"Nursery, Infants & Juniors",Welsh medium,6612199,01678 540242,Llanuwchllyn+Bala+Gwynedd++LL23 7UB,92.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Manod,"Nursery, Infants & Juniors",Welsh medium,6612205,01766 830272,Blaenau Ffestiniog+Gwynedd+++LL41 4AF,109.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Pennal,"Nursery, Infants & Juniors",Welsh medium,6612207,01654 791225,Pennal+Machynlleth+Gwynedd++SY20 9JT,27.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Cefn Coch,"Nursery, Infants & Juniors",Welsh medium,6612208,01766 770291,Penrhyndeudraeth+Gwynedd+++LL48 6AE,161.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Talsarnau,"Nursery, Infants & Juniors",Welsh medium,6612210,01766 770768,Talsarnau+Gwynedd+++LL47 6TA,32.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Tanygrisiau,"Nursery, Infants & Juniors",Welsh medium,6612211,01766 830795,Blaenau Ffestiniog+Gwynedd+++LL41 3SU,46.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Penybryn,Infants & Juniors,Welsh medium,6612212,01654 710237,Tywyn+Gwynedd+++LL36 9EF,236.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Bro Hedd Wyn,"Nursery, Infants & Juniors",Welsh medium,6612213,01766 540247,Trawsfynydd+Blaenau Ffestiniog+Gwynedd++LL41 4SE,56.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Bro Tryweryn,"Nursery, Infants & Juniors",Welsh medium,6612214,01678 520740,Frongoch+Bala+Gwynedd++LL23 7NT,54.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Tanycastell,"Nursery, Infants & Juniors",Welsh medium,6612219,01766 780454,Harlech+Gwynedd+++LL46 2UE,78.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Ffridd Y Llyn,"Nursery, Infants & Juniors",Welsh medium,6612220,01678 530373,Cefnddwysarn+Bala+Gwynedd++LL23 7HE,64.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Maenofferen,"Nursery, Infants & Juniors",Welsh medium,6612221,01766 831256,Blaenau Ffestiniog+Gwynedd+++LL41 3UL,225.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Hirael,"Nursery, Infants & Juniors",Welsh medium,6612227,01248 352182,Orme Road+Bangor+Gwynedd++LL57 1BA,202.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Craig y Deryn,"Nursery, Infants & Juniors",Welsh medium,6612228,01654 710463,Llanegryn+Gwynedd+++LL36 9SG,98.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Bro Llifon,"Nursery, Infants & Juniors",Welsh medium,6612229,01286 831033,Groeslon+Caernarfon+++LL54 7DT,163.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Pont Y Gof,"Nursery, Infants & Juniors",Welsh medium,6613004,01758 730318,Botwnnog+Pwllheli+Gwynedd++LL53 8RA,89.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Maesincla,"Nursery, Infants & Juniors",Welsh medium,6613005,01286 673787,Maesincla Caernarfon+Gwynedd+++LL55 1DF,270.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Y Faenol,"Nursery, Infants & Juniors",Welsh medium,6613009,01248 352162,Penrhosgarnedd+Bangor+Gwynedd++LL57 2NN,231.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Foel Gron,"Nursery, Infants & Juniors",Welsh medium,6613010,01758 740567,Mynytho+Pwllheli+Gwynedd++LL53 7RN,32.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Llandygai,"Nursery, Infants & Juniors",Welsh medium,6613013,01248 352163,Llandygai+Bangor+Gwynedd++LL57 4HU,98.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Llandwrog,"Nursery, Infants & Juniors",Welsh medium,6613018,01286 830223,Llandwrog+Caernarfon+Gwynedd++LL54 5ST,32.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Gynradd Llanystumdwy,"Nursery, Infants & Juniors",Welsh medium,6613023,01766 522961,Llanystumdwy+Criccieth+Gwynedd++LL52 0SP,26.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Tregarth,"Nursery, Infants & Juniors",Welsh medium,6613029,01248 600735,Tregarth+Bangor+Gwynedd++LL57 4PG,110.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Cae Top,"Nursery, Infants & Juniors",Welsh medium,6613030,01248 352325,Ffordd Eithinog+Bangor+Gwynedd++LL57 2GZ,237.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Santes Helen,"Nursery, Infants & Juniors",Welsh medium,6613300,01286 674856,Twtil+Caernarfon+Gwynedd++LL55 1PF,40.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Ein Harglwyddes,"Nursery, Infants & Juniors",English with significant Welsh,6613301,01248 352463,Caernarfon Road+Bangor+Gwynedd++LL57 2UT,162.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Dyffryn Ogwen Bethesda,Secondary (ages 11-19),Bilingual (Type A),6614002,01248 600291,Ffordd Coetmor+Bethesda+Gwynedd++LL57 3NN,410.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Botwnnog,Secondary (ages 11-16),Bilingual (Type A),6614003,01758 730220,Botwnnog+Llyn+Gwynedd++LL53 8PY,474.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Brynrefail,Secondary (ages 11-19),Bilingual (Type A),6614004,01286 672381,Llanrug+Caernarfon+Gwynedd++LL55 4AD,789.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Dyffryn Nantlle,Secondary (ages 11-19),Bilingual (Type A),6614007,01286 880345,Ffordd Y Brenin+Penygroes+Gwynedd++LL54 6AA,388.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Eifionydd,Secondary (ages 11-16),Bilingual (Type A),6614009,01766 512114,Porthmadog+Gwynedd+++LL49 9HS,362.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Y Moelwyn,Secondary (ages 11-16),Bilingual (Type A),6614031,01766 830435,Heol Wynne+Blaenau Ffestiniog+Gwynedd++LL41 3DW,354.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Uwchradd Tywyn,Secondary (ages 11-16),Bilingual (Type A),6614032,01654 710256,Station Road+Tywyn+Gwynedd++LL36 9EU,388.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Ardudwy,Secondary (ages 11-16),Bilingual (Type A),6614034,01766 780331,Ffordd y Traeth+Harlech+Gwynedd++LL46 2UH,323.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Friars,Secondary (ages 11-19),English with significant Welsh,6614036,01248 364905,Lon y Bryn+Bangor+Gwynedd++LL57 2LN,1389.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Tryfan,Secondary (ages 11-19),Bilingual (Type A),6614037,01248 352633,Lon Powys+Bangor+Gwynedd++LL57 2TY,496.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Syr Hugh Owen,Secondary (ages 11-19),Bilingual (Type A),6614039,01286 673076,Bethel Road+Caernarfon+Gwynedd++LL55 1HW,926.0,TODO,TODO,TODO
Gwynedd,661,Ysgol Glan Y Mor,Secondary (ages 11-16),Bilingual (Type A),6614040,01758 701244,Ffordd Caerdydd+Pwllheli+Gwynedd++LL53 5NU,472.0,TODO,TODO,TODO
